symbol,side,strategy_id,is_new_asset,pnl_avg_1m,pnl_avg_3m,pnl_avg_6m,pnl_sum_1m,pnl_sum_3m,pnl_sum_6m,trades_1m,trades_3m,trades_6m,win_rate_1m,win_rate_3m,win_rate_6m,positive_1m,positive_3m,positive_6m,positive_windows,total_pnl_1m_3m_6m,total_trades_1m_3m_6m
NEAR/USDT:USDT,long,near_trend_discovery,True,2.4935697043069416,1.6963042468113596,3.9938542129685564,117.19777610242626,208.64542235779723,866.6663642141767,47,123,217,0.6382978723404256,0.6178861788617886,0.5852534562211982,True,True,True,3,1192.5095626744003,387
XRP/USDT:USDT,short,xrp_trend,False,1.6131938706329172,1.915102310442594,4.0009643989762935,91.95205062607629,191.5102310442594,800.1928797952587,57,100,200,0.631578947368421,0.6,0.55,True,True,True,3,1083.6551614655943,357
AAVE/USDT:USDT,short,aave_trend,False,0.12401384807948211,0.577529557687092,2.287162515690097,7.440830884768927,69.30354692245105,530.6217036401025,60,120,232,0.5166666666666667,0.5416666666666666,0.5732758620689655,True,True,True,3,607.3660814473225,412
ETH/USDT:USDT,short,eth_trend,False,0.3411363307099572,0.47675181553331697,1.1912340762833762,31.384542425316063,79.61755319406393,351.414052503596,92,167,295,0.6304347826086957,0.5748502994011976,0.6033898305084746,True,True,True,3,462.416148122976,554
INJ/USDT:USDT,long,inj_trend_discovery,True,0.7327773267655379,0.5773696336857155,1.369404064811364,35.906089011511355,102.19442516237163,321.80995523067054,49,177,235,0.5510204081632653,0.5875706214689266,0.5914893617021276,True,True,True,3,459.9104694045535,461
LINK/USDT:USDT,short,link_trend,False,0.7054263895245961,0.7277289647311842,1.6793094715070755,33.86046669718061,60.40150407268829,272.04813438414624,48,83,162,0.5625,0.5542168674698795,0.5246913580246914,True,True,True,3,366.3101051540151,293
BTC/USDT:USDT,long,btc_trend_loose,False,0.1653402090074576,0.38637978422858577,1.4447905626255801,0.9920412540447456,49.842992165487566,312.0747615271253,6,129,216,0.3333333333333333,0.5193798449612403,0.5,True,True,True,3,362.9097949466576,351
BTC/USDT:USDT,short,btc_trend_loose,False,0.5757092588159252,0.7924932959447307,1.6870067842419385,27.058335164348485,59.4369971958548,268.2340786944682,47,75,159,0.7021276595744681,0.6533333333333333,0.6037735849056604,True,True,True,3,354.7294110546715,281
RENDER/USDT:USDT,long,render_trend_discovery,True,0.3001680309461408,0.5445611580226781,1.2921349760498586,12.907225330684055,51.73331001215442,266.1798050662709,43,95,206,0.4883720930232558,0.6105263157894737,0.5728155339805825,True,True,True,3,330.82034040910935,344
SUI/USDT:USDT,short,sui_trend_discovery,True,0.6401251616128293,0.5284413225379763,0.9840376660827815,35.84700905031844,56.54322151156346,200.74368388088743,56,107,204,0.6428571428571429,0.5700934579439252,0.5833333333333334,True,True,True,3,293.1339144427693,367
