symbol,base,binance_quote_volume,bitget_quote_volume,min_quote_volume,sum_quote_volume,flags,candidate_clean,has_both_quote_volume,bitget_is_rwa,bitget_symbol_status,bitget_symbol_type,bitget_min_trade_usdt
SOL/USDT:USDT,SOL,1419094151.2631,227502116.4107,227502116.4107,1646596267.6738,,True,True,NO,normal,perpetual,5
WLD/USDT:USDT,WLD,325415656.0307,85736577.6421,85736577.6421,411152233.67280006,,True,True,NO,normal,perpetual,5
ZEC/USDT:USDT,ZEC,841952474.72,66885153.93412,66885153.93412,908837628.65412,,True,True,NO,normal,perpetual,5
NEAR/USDT:USDT,NEAR,238695011.508,39171561.8097,39171561.8097,277866573.3177,,True,True,NO,normal,perpetual,5
ADA/USDT:USDT,ADA,175152690.3865,34708414.4747,34708414.4747,209861104.8612,,True,True,NO,normal,perpetual,5
SUI/USDT:USDT,SUI,130909087.30373,26671098.3653,26671098.3653,157580185.66903,,True,True,NO,normal,perpetual,5
ENA/USDT:USDT,ENA,131029991.71934,25608205.3814,25608205.3814,156638197.10074,,True,True,NO,normal,perpetual,5
XLM/USDT:USDT,XLM,79471875.85226,16101181.89839,16101181.89839,95573057.75065,,True,True,NO,normal,perpetual,5
XMR/USDT:USDT,XMR,153593280.57,15282322.4797,15282322.4797,168875603.0497,,True,True,NO,normal,perpetual,5
ONDO/USDT:USDT,ONDO,69691889.83059,13473178.17819,13473178.17819,83165068.00878,,True,True,NO,normal,perpetual,5
RENDER/USDT:USDT,RENDER,21775181.5271,12892275.73068,12892275.73068,34667457.25778,,True,True,NO,normal,perpetual,5
TON/USDT:USDT,TON,86564532.79166,11160568.2251,11160568.2251,97725101.01676,,True,True,NO,normal,perpetual,5
INJ/USDT:USDT,INJ,53936941.8457,10650799.1487,10650799.1487,64587740.9944,,True,True,NO,normal,perpetual,5
TAO/USDT:USDT,TAO,59374484.35,10489306.0452,10489306.0452,69863790.3952,,True,True,NO,normal,perpetual,5
CRV/USDT:USDT,CRV,46130031.69085,10005344.1308,10005344.1308,56135375.82165,,True,True,NO,normal,perpetual,5
APT/USDT:USDT,APT,32771140.14199,7735311.3117457,7735311.3117457,40506451.4537357,,True,True,NO,normal,perpetual,5
FET/USDT:USDT,FET,35973073.8613,6292265.7418,6292265.7418,42265339.6031,,True,True,NO,normal,perpetual,5
VIRTUAL/USDT:USDT,VIRTUAL,31152237.87113,6172301.7278,6172301.7278,37324539.59893,,True,True,NO,normal,perpetual,5
ORDI/USDT:USDT,ORDI,25690808.0893,6156644.46904,6156644.46904,31847452.55834,,True,True,NO,normal,perpetual,5
OP/USDT:USDT,OP,32894156.8555,5992660.79495,5992660.79495,38886817.65045,,True,True,NO,normal,perpetual,5
CHZ/USDT:USDT,CHZ,35497152.84005,5725124.71985,5725124.71985,41222277.5599,,True,True,NO,normal,perpetual,5
LTC/USDT:USDT,LTC,46450441.38,5115316.986,5115316.986,51565758.366,,True,True,NO,normal,perpetual,5
FIL/USDT:USDT,FIL,104071606.458,4638543.95468,4638543.95468,108710150.41268,,True,True,NO,normal,perpetual,5
TIA/USDT:USDT,TIA,18009320.5751,4311559.37939,4311559.37939,22320879.95449,,True,True,NO,normal,perpetual,5
SEI/USDT:USDT,SEI,19891941.49764,3779554.27523,3779554.27523,23671495.77287,,True,True,NO,normal,perpetual,5
ATOM/USDT:USDT,ATOM,20306848.383,3438543.9909,3438543.9909,23745392.3739,,True,True,NO,normal,perpetual,5
HBAR/USDT:USDT,HBAR,20194281.57917,3306806.04221,3306806.04221,23501087.62138,,True,True,NO,normal,perpetual,5
UNI/USDT:USDT,UNI,38901067.688,3155664.069,3155664.069,42056731.757,,True,True,NO,normal,perpetual,5
ICP/USDT:USDT,ICP,22638835.246,2960961.46659,2960961.46659,25599796.71259,,True,True,NO,normal,perpetual,5
JUP/USDT:USDT,JUP,12731007.7376,2951127.8729,2951127.8729,15682135.6105,,True,True,NO,normal,perpetual,5
PYTH/USDT:USDT,PYTH,17988561.64565,2936353.33489,2936353.33489,20924914.98054,,True,True,NO,normal,perpetual,5
ARB/USDT:USDT,ARB,25918396.85296,1888132.541119,1888132.541119,27806529.394079,,True,True,NO,normal,perpetual,5
ALGO/USDT:USDT,ALGO,16551073.9219,1330965.14413,1330965.14413,17882039.06603,,True,True,NO,normal,perpetual,5
ETC/USDT:USDT,ETC,13077449.56,1225170.396,1225170.396,14302619.956,,True,True,NO,normal,perpetual,5
LDO/USDT:USDT,LDO,8324448.5633,886855.55581,886855.55581,9211304.11911,,True,True,NO,normal,perpetual,5
RUNE/USDT:USDT,RUNE,6936720.5973,812912.44718,812912.44718,7749633.04448,,True,True,NO,normal,perpetual,5
SAND/USDT:USDT,SAND,4419811.688,785347.85412,785347.85412,5205159.54212,,True,True,NO,normal,perpetual,5
APE/USDT:USDT,APE,5840276.3362,440392.092,440392.092,6280668.4282,,True,True,NO,normal,perpetual,5
COMP/USDT:USDT,COMP,3218938.52,371159.5814,371159.5814,3590098.1014,,True,True,NO,normal,perpetual,5
DYDX/USDT:USDT,DYDX,4291145.1429,287501.5534,287501.5534,4578646.6963,,True,True,NO,normal,perpetual,5
GRT/USDT:USDT,GRT,3527153.00749,160848.124576,160848.124576,3688001.132066,,True,True,NO,normal,perpetual,5
MANA/USDT:USDT,MANA,2356206.0329,128768.9843,128768.9843,2484975.0172,,True,True,NO,normal,perpetual,5
SNX/USDT:USDT,SNX,2781245.00691,93882.45537,93882.45537,2875127.46228,,True,True,NO,normal,perpetual,5
