symbol,base,in_current_registry,binance_type,bitget_type,binance_active,bitget_active
0G/USDT:USDT,0G,False,swap,swap,True,True
1000000MOG/USDT:USDT,1000000MOG,False,swap,swap,True,True
1000BONK/USDT:USDT,1000BONK,False,swap,swap,True,True
1000CAT/USDT:USDT,1000CAT,False,swap,swap,True,True
1000RATS/USDT:USDT,1000RATS,False,swap,swap,True,True
1000SATS/USDT:USDT,1000SATS,False,swap,swap,True,True
1000XEC/USDT:USDT,1000XEC,False,swap,swap,True,True
1INCH/USDT:USDT,1INCH,False,swap,swap,True,True
1MBABYDOGE/USDT:USDT,1MBABYDOGE,False,swap,swap,True,True
2Z/USDT:USDT,2Z,False,swap,swap,True,True
4/USDT:USDT,4,False,swap,swap,True,True
A/USDT:USDT,A,False,swap,swap,True,True
AAOI/USDT:USDT,AAOI,False,swap,swap,True,True
AAPL/USDT:USDT,AAPL,False,swap,swap,True,True
ACE/USDT:USDT,ACE,False,swap,swap,True,True
ACH/USDT:USDT,ACH,False,swap,swap,True,True
ACT/USDT:USDT,ACT,False,swap,swap,True,True
ACU/USDT:USDT,ACU,False,swap,swap,True,True
ACX/USDT:USDT,ACX,False,swap,swap,True,True
ADA/USDT:USDT,ADA,False,swap,swap,True,True
ADBE/USDT:USDT,ADBE,False,swap,swap,True,True
AERO/USDT:USDT,AERO,False,swap,swap,True,True
AEVO/USDT:USDT,AEVO,False,swap,swap,True,True
AGLD/USDT:USDT,AGLD,False,swap,swap,True,True
AIN/USDT:USDT,AIN,False,swap,swap,True,True
AIO/USDT:USDT,AIO,False,swap,swap,True,True
AIXBT/USDT:USDT,AIXBT,False,swap,swap,True,True
AKT/USDT:USDT,AKT,False,swap,swap,True,True
ALCH/USDT:USDT,ALCH,False,swap,swap,True,True
ALGO/USDT:USDT,ALGO,False,swap,swap,True,True
ALICE/USDT:USDT,ALICE,False,swap,swap,True,True
ALLO/USDT:USDT,ALLO,False,swap,swap,True,True
ALT/USDT:USDT,ALT,False,swap,swap,True,True
AMAT/USDT:USDT,AMAT,False,swap,swap,True,True
AMD/USDT:USDT,AMD,False,swap,swap,True,True
AMZN/USDT:USDT,AMZN,False,swap,swap,True,True
ANIME/USDT:USDT,ANIME,False,swap,swap,True,True
ANKR/USDT:USDT,ANKR,False,swap,swap,True,True
ANTHROPIC/USDT:USDT,ANTHROPIC,False,swap,swap,True,True
APE/USDT:USDT,APE,False,swap,swap,True,True
API3/USDT:USDT,API3,False,swap,swap,True,True
APR/USDT:USDT,APR,False,swap,swap,True,True
APT/USDT:USDT,APT,False,swap,swap,True,True
AR/USDT:USDT,AR,False,swap,swap,True,True
ARB/USDT:USDT,ARB,False,swap,swap,True,True
ARC/USDT:USDT,ARC,False,swap,swap,True,True
ARIA/USDT:USDT,ARIA,False,swap,swap,True,True
ARK/USDT:USDT,ARK,False,swap,swap,True,True
ARKM/USDT:USDT,ARKM,False,swap,swap,True,True
ARM/USDT:USDT,ARM,False,swap,swap,True,True
ARPA/USDT:USDT,ARPA,False,swap,swap,True,True
ASML/USDT:USDT,ASML,False,swap,swap,True,True
ASR/USDT:USDT,ASR,False,swap,swap,True,True
ASTER/USDT:USDT,ASTER,False,swap,swap,True,True
ASTR/USDT:USDT,ASTR,False,swap,swap,True,True
ASTS/USDT:USDT,ASTS,False,swap,swap,True,True
AT/USDT:USDT,AT,False,swap,swap,True,True
ATH/USDT:USDT,ATH,False,swap,swap,True,True
ATOM/USDT:USDT,ATOM,False,swap,swap,True,True
AUCTION/USDT:USDT,AUCTION,False,swap,swap,True,True
AVA/USDT:USDT,AVA,False,swap,swap,True,True
AVGO/USDT:USDT,AVGO,False,swap,swap,True,True
AVNT/USDT:USDT,AVNT,False,swap,swap,True,True
AWE/USDT:USDT,AWE,False,swap,swap,True,True
AXL/USDT:USDT,AXL,False,swap,swap,True,True
AXS/USDT:USDT,AXS,False,swap,swap,True,True
AXTI/USDT:USDT,AXTI,False,swap,swap,True,True
AZTEC/USDT:USDT,AZTEC,False,swap,swap,True,True
B/USDT:USDT,B,False,swap,swap,True,True
B2/USDT:USDT,B2,False,swap,swap,True,True
BABA/USDT:USDT,BABA,False,swap,swap,True,True
BABY/USDT:USDT,BABY,False,swap,swap,True,True
BAN/USDT:USDT,BAN,False,swap,swap,True,True
BANANA/USDT:USDT,BANANA,False,swap,swap,True,True
BANANAS31/USDT:USDT,BANANAS31,False,swap,swap,True,True
BAND/USDT:USDT,BAND,False,swap,swap,True,True
BANK/USDT:USDT,BANK,False,swap,swap,True,True
BARD/USDT:USDT,BARD,False,swap,swap,True,True
BAS/USDT:USDT,BAS,False,swap,swap,True,True
BASED/USDT:USDT,BASED,False,swap,swap,True,True
BAT/USDT:USDT,BAT,False,swap,swap,True,True
BB/USDT:USDT,BB,False,swap,swap,True,True
BE/USDT:USDT,BE,False,swap,swap,True,True
BEAT/USDT:USDT,BEAT,False,swap,swap,True,True
BERA/USDT:USDT,BERA,False,swap,swap,True,True
BICO/USDT:USDT,BICO,False,swap,swap,True,True
BIGTIME/USDT:USDT,BIGTIME,False,swap,swap,True,True
BILL/USDT:USDT,BILL,False,swap,swap,True,True
BIO/USDT:USDT,BIO,False,swap,swap,True,True
BIRB/USDT:USDT,BIRB,False,swap,swap,True,True
BLESS/USDT:USDT,BLESS,False,swap,swap,True,True
BLUR/USDT:USDT,BLUR,False,swap,swap,True,True
BNT/USDT:USDT,BNT,False,swap,swap,True,True
BOME/USDT:USDT,BOME,False,swap,swap,True,True
BR/USDT:USDT,BR,False,swap,swap,True,True
BRETT/USDT:USDT,BRETT,False,swap,swap,True,True
