symbol,base,binance_quote_volume,bitget_quote_volume,min_quote_volume,sum_quote_volume,flags,candidate_clean
0G/USDT:USDT,0G,3028410.7287,,,,,True
1000BONK/USDT:USDT,1000BONK,13483515.860235,,,,,True
1000CAT/USDT:USDT,1000CAT,526797.343823,,,,,True
1000RATS/USDT:USDT,1000RATS,1116694.54127,,,,,True
1000SATS/USDT:USDT,1000SATS,2224257.3653654,,,,,True
1000XEC/USDT:USDT,1000XEC,1184786.081347,,,,,True
1INCH/USDT:USDT,1INCH,1357833.7265,,,,,True
2Z/USDT:USDT,2Z,4258579.44422,,,,,True
AAOI/USDT:USDT,AAOI,28959962.4114,,,,,True
ACE/USDT:USDT,ACE,959856.161466,,,,,True
ACH/USDT:USDT,ACH,1786983.876477,,,,,True
ACT/USDT:USDT,ACT,1641777.00357,,,,,True
ACU/USDT:USDT,ACU,898531.60084,,,,,True
ACX/USDT:USDT,ACX,557955.321474,,,,,True
ADA/USDT:USDT,ADA,174927341.0489,,,,,True
AERO/USDT:USDT,AERO,4544213.4581,,,,,True
AEVO/USDT:USDT,AEVO,1060539.211397,,,,,True
AGLD/USDT:USDT,AGLD,1659431.2359,,,,,True
AIN/USDT:USDT,AIN,29007791.97919,,,,,True
AIO/USDT:USDT,AIO,84978562.65918,,,,,True
AIXBT/USDT:USDT,AIXBT,7768338.41977,,,,,True
AKT/USDT:USDT,AKT,1976931.81006,,,,,True
ALCH/USDT:USDT,ALCH,848572.57228,,,,,True
ALGO/USDT:USDT,ALGO,16533266.3327,,,,,True
ALICE/USDT:USDT,ALICE,1907210.25653,,,,,True
ALLO/USDT:USDT,ALLO,152330486.22285,,,,,True
ALT/USDT:USDT,ALT,4193880.781479,,,,,True
ANIME/USDT:USDT,ANIME,1412471.113545,,,,,True
ANKR/USDT:USDT,ANKR,1040160.020294,,,,,True
ANTHROPIC/USDT:USDT,ANTHROPIC,4124882.3074,,,,,True
APE/USDT:USDT,APE,5845697.7686,,,,,True
API3/USDT:USDT,API3,1377661.2152,,,,,True
APR/USDT:USDT,APR,2809675.34205,,,,,True
APT/USDT:USDT,APT,32732240.98275,,,,,True
AR/USDT:USDT,AR,5264332.751,,,,,True
ARB/USDT:USDT,ARB,25906461.129644,,,,,True
ARC/USDT:USDT,ARC,21952587.14012,,,,,True
ARIA/USDT:USDT,ARIA,4469402.13425,,,,,True
ARK/USDT:USDT,ARK,1030415.4834,,,,,True
ARKM/USDT:USDT,ARKM,6669001.3987,,,,,True
ARPA/USDT:USDT,ARPA,885038.98811,,,,,True
ASR/USDT:USDT,ASR,1905074.0078,,,,,True
ASTER/USDT:USDT,ASTER,25079728.8744,,,,,True
ASTR/USDT:USDT,ASTR,6475624.880053,,,,,True
ASTS/USDT:USDT,ASTS,11440048.8249,,,,,True
AT/USDT:USDT,AT,21146211.01016,,,,,True
ATH/USDT:USDT,ATH,1668923.23795,,,,,True
ATOM/USDT:USDT,ATOM,20364920.5,,,,,True
AUCTION/USDT:USDT,AUCTION,713135.46706,,,,,True
AVA/USDT:USDT,AVA,556944.25043,,,,,True
AVNT/USDT:USDT,AVNT,4905577.3687,,,,,True
AWE/USDT:USDT,AWE,895121.84229,,,,,True
AXL/USDT:USDT,AXL,4230507.814748,,,,,True
AXS/USDT:USDT,AXS,6131115.774,,,,,True
AXTI/USDT:USDT,AXTI,6605466.866,,,,,True
AZTEC/USDT:USDT,AZTEC,2514863.2592,,,,,True
B2/USDT:USDT,B2,1326708.33,,,,,True
BABY/USDT:USDT,BABY,13427470.36586,,,,,True
BAN/USDT:USDT,BAN,3644671.88517,,,,,True
BANANA/USDT:USDT,BANANA,839781.3284,,,,,True
BANANAS31/USDT:USDT,BANANAS31,23251173.905038,,,,,True
BAND/USDT:USDT,BAND,682955.4126,,,,,True
BANK/USDT:USDT,BANK,8972432.31252,,,,,True
BARD/USDT:USDT,BARD,6443253.9532,,,,,True
BAS/USDT:USDT,BAS,5264187.357523,,,,,True
BASED/USDT:USDT,BASED,13354429.44406,,,,,True
BAT/USDT:USDT,BAT,2363885.3475,,,,,True
BB/USDT:USDT,BB,1077254.48759,,,,,True
BE/USDT:USDT,BE,3890994.0557,,,,,True
BEAT/USDT:USDT,BEAT,765128041.766,,,,,True
BERA/USDT:USDT,BERA,11102065.45261,,,,,True
BICO/USDT:USDT,BICO,1595584.61501,,,,,True
BIGTIME/USDT:USDT,BIGTIME,1045446.25327,,,,,True
BILL/USDT:USDT,BILL,15960878.34492,,,,,True
BIO/USDT:USDT,BIO,12100377.25636,,,,,True
BIRB/USDT:USDT,BIRB,2313460.17376,,,,,True
BLESS/USDT:USDT,BLESS,4189774.406615,,,,,True
BLUR/USDT:USDT,BLUR,1590200.26612,,,,,True
BNT/USDT:USDT,BNT,347753.8692,,,,,True
BOME/USDT:USDT,BOME,3921841.5267696,,,,,True
BR/USDT:USDT,BR,3077335.96694,,,,,True
BRETT/USDT:USDT,BRETT,2534787.391797,,,,,True
BREV/USDT:USDT,BREV,1322972.64606,,,,,True
BSB/USDT:USDT,BSB,25813025.57558,,,,,True
BSV/USDT:USDT,BSV,1249011.743,,,,,True
BTW/USDT:USDT,BTW,34798986.361742,,,,,True
BX/USDT:USDT,BX,2161416.2664,,,,,True
BZ/USDT:USDT,BZ,264636012.8174,,,,,True
C98/USDT:USDT,C98,886632.19044,,,,,True
CAKE/USDT:USDT,CAKE,3944460.8743,,,,,True
CARV/USDT:USDT,CARV,665040.19733,,,,,True
CATI/USDT:USDT,CATI,4646502.56873,,,,,True
CBRS/USDT:USDT,CBRS,57471562.0685,,,,,True
CC/USDT:USDT,CC,7536396.88988,,,,,True
CELO/USDT:USDT,CELO,751062.523892,,,,,True
CELR/USDT:USDT,CELR,974624.694688,,,,,True
CETUS/USDT:USDT,CETUS,407932.32646,,,,,True
CFG/USDT:USDT,CFG,5491806.4404,,,,,True
CFX/USDT:USDT,CFX,2855605.06228,,,,,True
CGPT/USDT:USDT,CGPT,1299712.48094,,,,,True
CHILLGUY/USDT:USDT,CHILLGUY,788264.126744,,,,,True
CHIP/USDT:USDT,CHIP,12600720.78541,,,,,True
CHR/USDT:USDT,CHR,768200.37061,,,,,True
CHZ/USDT:USDT,CHZ,35517594.38761,,,,,True
CKB/USDT:USDT,CKB,770718.001951,,,,,True
CL/USDT:USDT,CL,687604913.749,,,,,True
CLANKER/USDT:USDT,CLANKER,611787.9306,,,,,True
COAI/USDT:USDT,COAI,41656368.1883,,,,,True
COHR/USDT:USDT,COHR,6947680.5018,,,,,True
COIN/USDT:USDT,COIN,18629264.7222,,,,,True
COMP/USDT:USDT,COMP,3199717.45,,,,,True
COOKIE/USDT:USDT,COOKIE,1144837.21143,,,,,True
COPPER/USDT:USDT,COPPER,12420833.7912,,,,,True
COST/USDT:USDT,COST,127978.3868,,,,,True
COTI/USDT:USDT,COTI,959777.90836,,,,,True
