symbol,base,binance_quote_volume,bitget_quote_volume,min_quote_volume,sum_quote_volume,flags,candidate_clean,has_both_quote_volume
SPCX/USDT:USDT,SPCX,5857778457.486,491864399.4874,491864399.4874,6349642856.9734,,True,True
SOL/USDT:USDT,SOL,1419094151.2631,227502116.4107,227502116.4107,1646596267.6738,,True,True
SOXL/USDT:USDT,SOXL,598503297.0253,196495004.7592,196495004.7592,794998301.7845,,True,True
VELVET/USDT:USDT,VELVET,1499264231.58503,178804217.76017,178804217.76017,1678068449.3452,,True,True
BEAT/USDT:USDT,BEAT,765120687.0411,171380282.38171,171380282.38171,936500969.4228101,,True,True
XAU/USDT:USDT,XAU,1046288627.82,169720805.7809,169720805.7809,1216009433.6009002,,True,True
TRUMP/USDT:USDT,TRUMP,525847874.17603,127432341.7811,127432341.7811,653280215.95713,,True,True
HYPE/USDT:USDT,HYPE,1131348110.48161,126706029.30253,126706029.30253,1258054139.78414,,True,True
XAG/USDT:USDT,XAG,828788027.0197,116278679.7359,116278679.7359,945066706.7556001,,True,True
WLD/USDT:USDT,WLD,325415656.0307,85736577.6421,85736577.6421,411152233.67280006,,True,True
CL/USDT:USDT,CL,687472201.4281,67173368.6592,67173368.6592,754645570.0873,,True,True
ZEC/USDT:USDT,ZEC,841952474.72,66885153.93412,66885153.93412,908837628.65412,,True,True
ESPORTS/USDT:USDT,ESPORTS,487576187.82572,65824323.93951,65824323.93951,553400511.7652301,,True,True
SNDK/USDT:USDT,SNDK,809785245.034,57889767.15631,57889767.15631,867675012.19031,,True,True
RKLB/USDT:USDT,RKLB,57685483.9233,137508933.3859,57685483.9233,195194417.3092,,True,True
STG/USDT:USDT,STG,268512003.9837,53305643.8421,53305643.8421,321817647.8258,,True,True
CBRS/USDT:USDT,CBRS,57467667.7188,40720350.8032,40720350.8032,98188018.522,,True,True
MU/USDT:USDT,MU,600033024.6868,40191025.7945,40191025.7945,640224050.4813,,True,True
XPL/USDT:USDT,XPL,247259269.44118,40130737.29944,40130737.29944,287390006.74062,,True,True
DRAM/USDT:USDT,DRAM,59541782.0857,39877706.8141,39877706.8141,99419488.8998,,True,True
NEAR/USDT:USDT,NEAR,238695011.508,39171561.8097,39171561.8097,277866573.31769997,,True,True
BZ/USDT:USDT,BZ,263987343.588,37774072.1735,37774072.1735,301761415.7615,,True,True
XAUT/USDT:USDT,XAUT,37688570.87,39362839.2083,37688570.87,77051410.0783,,True,True
ADA/USDT:USDT,ADA,175152690.3865,34708414.4747,34708414.4747,209861104.8612,,True,True
LITE/USDT:USDT,LITE,34369837.9466,51680245.6654,34369837.9466,86050083.61199999,,True,True
MRVL/USDT:USDT,MRVL,197422656.1509,28012074.8014,28012074.8014,225434730.9523,,True,True
EPIC/USDT:USDT,EPIC,32919911.32545,27884460.90069,27884460.90069,60804372.22614,,True,True
SUI/USDT:USDT,SUI,130909087.30373,26671098.3653,26671098.3653,157580185.66903,,True,True
INTC/USDT:USDT,INTC,168548738.4987,25661911.1516,25661911.1516,194210649.6503,,True,True
ENA/USDT:USDT,ENA,131029991.71934,25608205.3814,25608205.3814,156638197.10074,,True,True
AAOI/USDT:USDT,AAOI,28942137.658,25068079.829,25068079.829,54010217.487,,True,True
LAB/USDT:USDT,LAB,190869792.88176,21610411.32737,21610411.32737,212480204.20913,,True,True
ALLO/USDT:USDT,ALLO,151849336.17589,21443495.31141,21443495.31141,173292831.4873,,True,True
NBIS/USDT:USDT,NBIS,19932831.2185,20089774.8237,19932831.2185,40022606.0422,,True,True
XLM/USDT:USDT,XLM,79471875.85226,16101181.89839,16101181.89839,95573057.75064999,,True,True
AIO/USDT:USDT,AIO,84885904.28728,15740042.53385,15740042.53385,100625946.82113,,True,True
XMR/USDT:USDT,XMR,153593280.57,15282322.4797,15282322.4797,168875603.0497,,True,True
ONDO/USDT:USDT,ONDO,69691889.83059,13473178.17819,13473178.17819,83165068.00878,,True,True
SKYAI/USDT:USDT,SKYAI,119828509.11953,13323404.43189,13323404.43189,133151913.55142,,True,True
PAXG/USDT:USDT,PAXG,52420969.7246,12911089.21115,12911089.21115,65332058.93575,,True,True
RENDER/USDT:USDT,RENDER,21775181.5271,12892275.73068,12892275.73068,34667457.25778,,True,True
