symbol,side,group_name,model_name,train_rows,test_rows,positive_rate_train,positive_rate_test,accuracy,auc,features
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,logreg_l2_c1,317,106,0.6088328075709779,0.6037735849056604,0.6415094339622641,0.6930803571428571,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,logreg_l2_c03,317,106,0.6088328075709779,0.6037735849056604,0.6509433962264151,0.7012648809523809,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,rf_300_d6,317,106,0.6088328075709779,0.6037735849056604,0.6037735849056604,0.6577380952380952,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,rf_500_d8,317,106,0.6088328075709779,0.6037735849056604,0.6037735849056604,0.6588541666666666,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,hgb_200_d4,317,106,0.6088328075709779,0.6037735849056604,0.660377358490566,0.6354166666666666,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,hgb_300_d6,317,106,0.6088328075709779,0.6037735849056604,0.660377358490566,0.6614583333333333,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AVAX/USDT:USDT,short,AVAX/USDT:USDT|short,logreg_l2_c1,352,118,0.5028409090909091,0.5,0.6779661016949152,0.7489227233553577,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AVAX/USDT:USDT,short,AVAX/USDT:USDT|short,logreg_l2_c03,352,118,0.5028409090909091,0.5,0.6610169491525424,0.7506463659867855,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AVAX/USDT:USDT,short,AVAX/USDT:USDT|short,rf_300_d6,352,118,0.5028409090909091,0.5,0.635593220338983,0.7354208560758403,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
AVAX/USDT:USDT,short,AVAX/USDT:USDT|short,rf_500_d8,352,118,0.5028409090909091,0.5,0.635593220338983,0.7460499856363114,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id
