window,window_days,target_key,train_rows,test_rows,model_type,accuracy,balanced_accuracy,roc_auc,brier,positive_rate_train,positive_rate_test,recommended_apply,fallback_mode,feature_numeric,feature_categorical,all_results,model_path
1m,30,BNB/USDT:USDT,3605,181,extratrees,0.712707182320442,0.6892945544554455,0.7365717821782177,0.23688433047211394,0.3783633841886269,0.4419889502762431,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.4972375690607735, 'balanced_accuracy': 0.4689356435643564, 'roc_auc': 0.6074257425742574, 'brier': 0.2491632935801605}, 'mlp': {'accuracy': 0.5580110497237569, 'balanced_accuracy': 0.5, 'roc_auc': 0.5719059405940594, 'brier': 0.24421025822686288}, 'hgb': {'accuracy': 0.6187845303867403, 'balanced_accuracy': 0.5869430693069306, 'roc_auc': 0.6775990099009901, 'brier': 0.24023280734129432}, 'extratrees': {'accuracy': 0.712707182320442, 'balanced_accuracy': 0.6892945544554455, 'roc_auc': 0.7365717821782177, 'brier': 0.23688433047211394}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_BNB_USDT_USDT_1m.joblib
1m,30,BTC/USDT:USDT,2884,361,extratrees,0.5678670360110804,0.5397340754483612,0.6781230674087817,0.2371015023562194,0.3828016643550624,0.45706371191135736,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5623268698060941, 'balanced_accuracy': 0.5423005565862709, 'roc_auc': 0.6459492888064318, 'brier': 0.24431329404039115}, 'mlp': {'accuracy': 0.5429362880886427, 'balanced_accuracy': 0.5, 'roc_auc': 0.6592455163883736, 'brier': 0.2461384451059865}, 'hgb': {'accuracy': 0.5706371191135734, 'balanced_accuracy': 0.5408472479901051, 'roc_auc': 0.6566635745207172, 'brier': 0.25111006764013455}, 'extratrees': {'accuracy': 0.5678670360110804, 'balanced_accuracy': 0.5397340754483612, 'roc_auc': 0.6781230674087817, 'brier': 0.2371015023562194}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_BTC_USDT_USDT_1m.joblib
1m,30,ETH/USDT:USDT,3605,181,hgb,0.6132596685082873,0.5831481481481482,0.6747530864197531,0.25331521047665595,0.3783633841886269,0.44751381215469616,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5580110497237569, 'balanced_accuracy': 0.5296296296296297, 'roc_auc': 0.4909876543209877, 'brier': 0.2574066189723731}, 'mlp': {'accuracy': 0.56353591160221, 'balanced_accuracy': 0.5346296296296297, 'roc_auc': 0.652962962962963, 'brier': 0.23899138391898417}, 'hgb': {'accuracy': 0.6132596685082873, 'balanced_accuracy': 0.5831481481481482, 'roc_auc': 0.6747530864197531, 'brier': 0.25331521047665595}, 'extratrees': {'accuracy': 0.5469613259668509, 'balanced_accuracy': 0.5196296296296297, 'roc_auc': 0.6472839506172839, 'brier': 0.2377988318113654}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_ETH_USDT_USDT_1m.joblib
1m,30,LINK/USDT:USDT,3605,181,logreg,0.5359116022099447,0.5309366593299095,0.5918317437026168,0.24567779671884615,0.3883495145631068,0.48066298342541436,False,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5359116022099447, 'balanced_accuracy': 0.5309366593299095, 'roc_auc': 0.5918317437026168, 'brier': 0.24567779671884615}, 'mlp': {'accuracy': 0.5193370165745856, 'balanced_accuracy': 0.5, 'roc_auc': 0.4580582049400832, 'brier': 0.26680846018961296}, 'hgb': {'accuracy': 0.5138121546961326, 'balanced_accuracy': 0.49767669356810956, 'roc_auc': 0.3309488872584984, 'brier': 0.3158703730094399}, 'extratrees': {'accuracy': 0.5303867403314917, 'balanced_accuracy': 0.5251895328931279, 'roc_auc': 0.5404133039863048, 'brier': 0.24932785574517313}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_LINK_USDT_USDT_1m.joblib
1m,30,XRP/USDT:USDT,3605,181,logreg,0.5469613259668509,0.59,0.5940740740740741,0.2590275548922956,0.3794729542302358,0.44751381215469616,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5469613259668509, 'balanced_accuracy': 0.59, 'roc_auc': 0.5940740740740741, 'brier': 0.2590275548922956}, 'mlp': {'accuracy': 0.5138121546961326, 'balanced_accuracy': 0.47086419753086417, 'roc_auc': 0.5435802469135802, 'brier': 0.2574086211202716}, 'hgb': {'accuracy': 0.56353591160221, 'balanced_accuracy': 0.5592592592592592, 'roc_auc': 0.5415432098765431, 'brier': 0.2705314851804531}, 'extratrees': {'accuracy': 0.5027624309392266, 'balanced_accuracy': 0.48080246913580243, 'roc_auc': 0.5543209876543209, 'brier': 0.24479424908903893}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_XRP_USDT_USDT_1m.joblib
3m,90,BNB/USDT:USDT,1620,541,logreg,0.5212569316081331,0.5519895258943168,0.5227077502840201,0.2563293333160004,0.5271604938271605,0.4417744916820702,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5212569316081331, 'balanced_accuracy': 0.5519895258943168, 'roc_auc': 0.5227077502840201, 'brier': 0.2563293333160004}, 'mlp': {'accuracy': 0.4658040665434381, 'balanced_accuracy': 0.4966471778104131, 'roc_auc': 0.46588988334395526, 'brier': 0.26320308607920745}, 'hgb': {'accuracy': 0.4195933456561922, 'balanced_accuracy': 0.4399817118789659, 'roc_auc': 0.4020269334146139, 'brier': 0.3141139348902217}, 'extratrees': {'accuracy': 0.4399260628465804, 'balanced_accuracy': 0.4712862645127324, 'roc_auc': 0.4125703122835213, 'brier': 0.262826853029966}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_BNB_USDT_USDT_3m.joblib
3m,90,BTC/USDT:USDT,3241,1081,logreg,0.5004625346901017,0.45870974713637347,0.40443051653339096,0.2562505220087808,0.5023141005862388,0.3885291396854764,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5004625346901017, 'balanced_accuracy': 0.45870974713637347, 'roc_auc': 0.40443051653339096, 'brier': 0.2562505220087808}, 'mlp': {'accuracy': 0.5078630897317299, 'balanced_accuracy': 0.4643271378142785, 'roc_auc': 0.3957675959945249, 'brier': 0.26290231155424854}, 'hgb': {'accuracy': 0.44033302497687327, 'balanced_accuracy': 0.4286398674447086, 'roc_auc': 0.39821338520279514, 'brier': 0.32832989720397854}, 'extratrees': {'accuracy': 0.5032377428307123, 'balanced_accuracy': 0.46358331532310354, 'roc_auc': 0.3958936676031986, 'brier': 0.2640981196331725}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_BTC_USDT_USDT_3m.joblib
3m,90,ETH/USDT:USDT,1620,541,mlp,0.5304990757855823,0.5096538418206399,0.5038868859846778,0.24999069956973013,0.5049382716049383,0.41404805914972276,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5341959334565619, 'balanced_accuracy': 0.5121535601622352, 'roc_auc': 0.453329202343398, 'brier': 0.25003087826064435}, 'mlp': {'accuracy': 0.5304990757855823, 'balanced_accuracy': 0.5096538418206399, 'roc_auc': 0.5038868859846778, 'brier': 0.24999069956973013}, 'hgb': {'accuracy': 0.5249537892791127, 'balanced_accuracy': 0.5081962595763858, 'roc_auc': 0.4772701667417755, 'brier': 0.2936058233499678}, 'extratrees': {'accuracy': 0.47504621072088726, 'balanced_accuracy': 0.46429979720594866, 'roc_auc': 0.4554838891392519, 'brier': 0.25262782938274114}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_ETH_USDT_USDT_3m.joblib
3m,90,LINK/USDT:USDT,1620,541,hgb,0.5046210720887245,0.4755375351492601,0.45143721419035987,0.30624312998224945,0.4783950617283951,0.4029574861367837,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.45286506469500926, 'balanced_accuracy': 0.4142997131252308, 'roc_auc': 0.37215610531996474, 'brier': 0.2784241226228669}, 'mlp': {'accuracy': 0.46210720887245843, 'balanced_accuracy': 0.39296162694918624, 'roc_auc': 0.3568466498139575, 'brier': 0.2867793233608014}, 'hgb': {'accuracy': 0.5046210720887245, 'balanced_accuracy': 0.4755375351492601, 'roc_auc': 0.45143721419035987, 'brier': 0.30624312998224945}, 'extratrees': {'accuracy': 0.4602587800369686, 'balanced_accuracy': 0.4219828443207317, 'roc_auc': 0.3701891669270316, 'brier': 0.28290105557197576}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_LINK_USDT_USDT_3m.joblib
3m,90,XRP/USDT:USDT,1620,541,hgb,0.5101663585951941,0.48113917093349534,0.48099453267378284,0.3105160977678006,0.5259259259259259,0.3826247689463956,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5194085027726433, 'balanced_accuracy': 0.49137955972113745, 'roc_auc': 0.4729960369116839, 'brier': 0.25513368671078446}, 'mlp': {'accuracy': 0.5304990757855823, 'balanced_accuracy': 0.5288336370736787, 'roc_auc': 0.47364690908038987, 'brier': 0.2642324591900925}, 'hgb': {'accuracy': 0.5101663585951941, 'balanced_accuracy': 0.48113917093349534, 'roc_auc': 0.48099453267378284, 'brier': 0.3105160977678006}, 'extratrees': {'accuracy': 0.4953789279112754, 'balanced_accuracy': 0.4608970464867367, 'roc_auc': 0.47457982585553526, 'brier': 0.2583330123966665}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_XRP_USDT_USDT_3m.joblib
